species,event_date,lat,lon,coordinate_uncertainty_in_meters
Anguilla rostrata,1960-01-01T00:00:00Z,38.787778,-75.1325,NA
Anguilla rostrata,2008-08-13T00:00:00Z,30.512222,-92.870833,NA
Anguilla rostrata,2014-06-28T10:47:40Z,39.283122,-76.573695,28121
Anguilla rostrata,2011-07-31T00:00:00Z,40.956274,-73.907078,27862
Anguilla rostrata,2013-09-17T12:45:00Z,20.431,-86.9081,100
Anguilla rostrata,2012-07-20T09:00:00Z,18.0488,-87.9237,100
Anguilla rostrata,2012-07-21T13:00:00Z,18.0488,-87.9237,100
Anguilla rostrata,2012-07-20T11:30:00Z,18.0488,-87.9237,100
Anguilla rostrata,2013-08-26T18:43:00Z,16.0764,-86.9141,100
Anguilla rostrata,1971-05-08T00:00:00Z,41.48602,-71.44106,NA
Anguilla rostrata,1967-06-10T00:00:00Z,40.96333,-73.14028,NA
Anguilla rostrata,2006-01-03T00:00:00Z,29.98472,-81.32694,NA
Anguilla rostrata,2014-04-07T00:00:00Z,40.909916,-73.962939,596
Anguilla rostrata,2014-03-23T00:00:00Z,40.926469,-73.818797,27862
Anguilla rostrata,2014-03-23T12:17:59Z,40.861825,-73.819932,27862
Anguilla rostrata,1963-08-30T00:00:00Z,34.5997,-94.8959,NA
Anguilla rostrata,1970-09-11T00:00:00Z,34.6521,-96.5873,NA
Anguilla rostrata,1971-06-19T00:00:00Z,34.294,-94.691,NA
Anguilla rostrata,1963-08-08T00:00:00Z,34.114,-94.963,NA
Anguilla rostrata,1962-03-26T00:00:00Z,35.589,-97.6238,NA
Anguilla rostrata,1973-07-19T00:00:00Z,33.9616,-95.3592,NA
Anguilla rostrata,1973-07-01T00:00:00Z,33.9719,-95.2493,NA
Anguilla rostrata,1973-06-19T00:00:00Z,33.9696,-95.2785,NA
Anguilla rostrata,1958-07-01T00:00:00Z,33.8206,-96.5566,NA
Anguilla rostrata,1956-05-18T00:00:00Z,33.8206,-96.5566,NA
Anguilla rostrata,1956-04-19T00:00:00Z,33.8206,-96.5566,NA
Anguilla rostrata,1954-05-01T00:00:00Z,33.8206,-96.5566,NA
Anguilla rostrata,1963-06-20T00:00:00Z,33.736,-94.608,NA
Anguilla rostrata,1963-07-10T00:00:00Z,33.966,-94.5851,NA
Anguilla rostrata,1960-07-26T00:00:00Z,36.287,-96.571,NA
Anguilla rostrata,1951-04-29T00:00:00Z,33.9605,-94.5739,NA
Anguilla rostrata,2000-07-20T00:00:00Z,25.96072,-80.231368,NA
Anguilla rostrata,2000-07-18T00:00:00Z,25.379375,-80.41,NA
Anguilla rostrata,1964-08-08T00:00:00Z,27.5,-76.5167,NA
Anguilla rostrata,1964-08-11T00:00:00Z,27.466667,-78.316667,NA
Anguilla rostrata,1964-07-28T00:00:00Z,31.8167,-77.85,NA
Anguilla rostrata,1964-08-07T00:00:00Z,28.833333,-73.333333,NA
Anguilla rostrata,1964-08-10T00:00:00Z,27.399826,-77.812473,NA
Anguilla rostrata,1964-08-10T00:00:00Z,27.433333,-78.266667,NA
Anguilla rostrata,2012-10-17T00:00:00Z,37.2383,-77.385201,NA
Anguilla rostrata,2012-10-17T00:00:00Z,37.602699,-77.0625,NA
Anguilla rostrata,1997-09-10T00:00:00Z,35.2582828,-77.5851004,NA
Anguilla rostrata,1965-01-01T00:00:00Z,34.692501,-76.558502,NA
Anguilla rostrata,1980-03-09T00:00:00Z,38.6362,-75.678001,24
